productID,type,title,author/artist,numInStock,price
114,dvd,Scott of the Antarctic,Issy Doerling,7,26.33
115,dvd,Lorna,Brod Whales,5,27.93
116,cd,Happy Poet The,Rorke Dyble,29,29.15
117,book,Sleeper,Miguela Addicote,25,20.25
118,dvd,Somebody Up There Likes Me,Benetta Bichard,42,21.26
119,dvd,Extremities,Bail Brittian,39,20.94
120,cd,Raise Your Voice,Derry Darrigoe,20,9.15
121,dvd,Mike's Murder,Augy Edmans,12,16.12
122,dvd,All the Light in the Sky,Bennie Millberg,32,15.16
123,dvd,Legionnaire,Herculie Rowet,50,18.45
124,cd,Jerky Boys The,Woodman Janz,28,17.69
125,book,The Great Alligator,Gilbert Huxstep,48,17.81
126,book,Arrow The,Bernelle Westphal,25,7.71
127,book,Mahogany,Clerc Lepere,38,15.55
128,book,Romeo and Juliet,Ginelle Gobolos,1,24.88
129,dvd,Minion The,Tyrone Spadari,5,14.18
130,dvd,Pan,Fee Rogerson,31,14.35
131,book,Hungry Hill,Gabie Grzes,12,26.25
132,cd,My Old Lady,Kalil Mendenhall,39,23.98
133,book,Hipnos,Cleon O'Carran,33,29.33
134,cd,Adam & Paul,Othilie Toffler,35,24.93
135,dvd,Magic of Ordinary Days The,Ursulina Rohlfs,13,8.94
136,dvd,Man from Utah The,Heather Blowes,13,7.55
137,cd,Touching the Void,Nevins Reggiani,36,16.84
138,dvd,Brink's Job The,Jeremie Emby,43,18.06
139,book,Farewell Home Sweet Home (Adieu plancher des vaches!),Aubert Brevitt,31,27.52
140,dvd,Street Smart,Myrlene Burges,28,9.37
141,cd,MR 73 (a.k.a. The Last Deadly Mission),Mohandis Hutley,47,7.96
142,dvd,The Cruel Sea,Brittan Schmuhl,23,11.55
143,book,Before and After,Page Lohde,19,13.94
144,book,The Brave Little Toaster Goes to Mars,Petronille Blewett,15,23.83
145,cd,Barbie: A Fashion Fairytale,Linc Boyda,5,27.88
146,cd,Big Lebowski The,Filmore Hayley,20,28.77
147,book,I the Jury,Linn Van Zon,28,7.82
148,dvd,Happythankyoumoreplease,Xenia Avrahm,30,29.43
149,book,Chaser The (Chugyeogja),Delmore Cerman,15,10.51
150,cd,Sadie Thompson,Anita Petera,50,14.15
151,book,Pretty Cool,Worthington Mufford,26,22.85
152,dvd,Wrong Guys The,Crosby Fredi,35,20.31
153,cd,King Solomon's Mines,Casi Brettell,44,22.81
154,cd,Sam Peckinpah's West: Legacy of a Hollywood Renegade,Klemens Janczyk,22,19.19
155,book,After Porn Ends,Caralie Soloway,22,17.85
156,book,L!fe Happens,Alaric Yakebovitch,33,10.5
157,book,Nightcap (Merci pour le chocolat),Terencio Caitlin,46,19.86
158,cd,Rookie The,Sharl Threadgould,45,18.62
159,cd,Pushing Tin,Sonnnie Waller-Bridge,5,23.06
160,book,Rampage,Arnuad Spearing,2,9.15
161,cd,Confidentially Connie,Kenn Cosens,7,23.02
162,cd,Movie 43,Sheelah Kneesha,11,10.14
163,cd,Beneath the Rooftops of Paris (Sous les toits de Paris),Karel Worsham,13,27.54
164,book,Autumn Leaves,Birch Weyman,40,11.68
165,dvd,Take Me Home Tonight,Arlina Brugsma,44,8.42
166,dvd,Source Family The,Roberta Werndley,21,12.35
167,dvd,Dragon Ball Z: Fusion Reborn (Doragon bôru Z 12: Fukkatsu no fyushon!! Gokû to Bejîta),Goran Hinchon,42,23.63
168,book,Box The,Etan Perone,2,14.52
169,book,Temptation of St. Tony The (Püha Tõnu kiusamine),Ellissa Hobben,27,28.09
170,cd,SOS - en segelsällskapsresa,Reinhold Pretti,21,22.23
171,dvd,Alien Hunter,Willey Huggens,37,15.18
172,dvd,Brothers The,Graeme Sproston,47,26.02
173,book,Mad Hot Ballroom,Vanna Lambal,37,29.26
174,dvd,Dollman vs. Demonic Toys,Melisent Milan,15,26.32
175,dvd,Populaire,Tillie Humphris,25,11.15
176,book,Sitting Pretty,Kyle Ossipenko,1,15.74
177,cd,Paper Chase The,Chilton Nicholl,22,11.7
178,cd,National Lampoon's Senior Trip,Margette Tulk,47,13.73
179,book,Shop on Main Street The (Obchod na korze),Doralyn Durant,31,17.82
180,cd,Contact,Calli Fulle,30,15.11
181,dvd,Allegheny Uprising,Rozele Selland,27,13.65
182,book,Doc Savage: The Man of Bronze,Brett MacCaffery,31,16.87
183,book,Man Woman and the Wall (Kikareta onna no mirareta yoru),Rhianon Groarty,17,20.05
184,dvd,Spy Kids: All the Time in the World in 4D,Jody Bohea,9,19.37
185,cd,Late Shift The,Jamie Feehily,35,14.79
186,cd,Dark Lurking The,Christoforo Cheng,2,15.23
187,cd,Forbidden Kingdom The,Ram Mulqueen,45,10.37
188,book,Harvey,Jasun Carreck,33,28.36
189,book,Vesku from Finland (Vesku),Harriett Andrault,50,27.74
190,book,Wilby Wonderful,Byrle Cullivan,38,16.77
191,cd,Curse of the Pink Panther,Anita Richin,13,27.0
192,book,Light It Up,Kennett Vasyaev,21,12.49
193,book,In Enemy Hands,Gwyneth Arends,33,8.99
194,book,A Husband of Round Trip,Jone Parlott,40,22.03
195,cd,Safe House,Jerrie Wilmington,37,15.7
196,book,Shame (Skammen),Phillipe Glusby,5,27.79
197,book,Tarnation,Crosby Bosden,41,9.9
198,cd,Some Kind of Hero,Zelma Irnis,46,11.37
199,dvd,She Creature (Mermaid Chronicles Part 1: She Creature),Zollie Duncanson,49,15.46
200,cd,Stella,Lamond Mattack,17,10.41
201,cd,Protector (Protektor),Doro Kopelman,34,21.04
202,dvd,Knockin' on Heaven's Door,Sandy Whyler,3,20.01
203,book,Silent Wedding (Nunta Muta),Lidia Lombard,32,8.13
204,cd,Across the Universe,Abigail Scattergood,27,11.59
205,dvd,Long Weekend,Daphne Tumini,25,29.11
206,book,Hospital,Clyde Aberdeen,2,27.24
207,dvd,Samaritan Girl (Samaria),Sybilla Kilner,46,20.92
208,cd,He Said She Said,Seward Khomishin,48,9.65
209,book,Sadie Thompson,Kelcy Korn,33,18.75
210,cd,Comic Book: The Movie,Michel Thurston,25,29.14
211,dvd,Jimmy Carter Man from Plains,Ileane Schoular,45,17.64
212,cd,Kremlin Letter The,Rebecka Lincke,48,8.43
213,cd,Leviathan,Gale Iapico,41,21.22
214,dvd,Babes on Broadway,Fleming Muneely,30,25.29
215,cd,Fish Story (Fisshu sutôrî),Ginnifer Annell,50,20.79
216,cd,Vendetta,Vivian Chadd,40,16.1
217,cd,Insurgent,Oswald Dysart,3,9.79
218,book,Balseros (Cuban Rafters),Sheelagh Sargeant,15,17.73
219,dvd,Me You Them (Eu Tu Eles),Ambros Corrao,43,23.57
220,cd,Fall The,Jarad Grigolli,14,23.67
221,dvd,Dinner with Friends,Renell Johansen,40,23.46
222,book,Horse Boy The,Matt Backhurst,6,17.73
223,dvd,A Connecticut Yankee in King Arthur's Court,Fancie Turpie,8,28.49
224,dvd,Juarez,Herbie McDugal,10,29.04
225,dvd,Gemini (Sôseiji),Rebekkah Mackiewicz,11,16.56
226,dvd,Congress The,Hank Carvilla,47,17.61
227,cd,I Live in Fear (Ikimono no kiroku),Aimil Bussel,21,15.68
228,dvd,Madam Satan,Beth Straffon,22,27.26
229,dvd,Hercules and the Circle of Fire,Rafael Egerton,16,20.78
230,dvd,White Lightning,Nelson Lissandri,15,23.7
231,book,Chicago Joe and the Showgirl,Woodrow Brunnstein,38,18.61
232,dvd,Violent Saturday,Devy Stutte,2,22.7
233,cd,Losers The,Cash Hustler,39,14.11
234,book,Jonestown: The Life and Death of Peoples Temple,Joeann MacBarron,35,16.6
235,dvd,Right America: Feeling Wronged - Some Voices from the Campaign Trail ,Forster Hancox,44,27.62
236,book,House of Sand and Fog,Corey Hallows,6,13.97
237,book,Malice N Wonderland,Glynis Reidshaw,29,7.8
238,book,Torment,Tarah Pudan,17,8.25
239,cd,Entre ses mains,Graig Camus,33,23.77
240,book,Runner The (Davandeh),Theodora Adrain,2,16.41
241,book,Becoming Chaz,Kort Crossthwaite,7,29.75
242,cd,Take Aim at the Police Van (Sono gosôsha wo nerae: 'Jûsangô taihisen' yori),Bartlett Dohmer,33,28.13
243,book,Man Without a Past The (Mies vailla menneisyyttä),Ezekiel Hampe,34,29.13
244,book,Dark Angel: Ascent The,Britney Morpeth,10,19.83
245,book,I Am Taraneh I Am Fifteen Years Old (Man taraneh panzdah sal daram),Mirabella Speeks,33,27.15
246,dvd,Fear City: A Family-Style Comedy (La cité de la peur),Hollyanne Parmeter,6,29.72
247,dvd,Devil's Carnival The,Arvin Jillis,5,7.22
248,cd,Lookout The,Vinita Skym,28,26.77
249,dvd,Kanchenjungha,Jamie Mangeot,30,18.03
250,cd,Vera Drake,Millie Woollard,17,13.44
251,book,Protocol,Farra Raynton,42,17.79
252,dvd,Sky High,Darrell Stocky,17,14.03
253,cd,Hide Your Smiling Faces,Wanids O'Dunniom,29,12.27
254,dvd,Three Guys Named Mike,Shandeigh Beachem,24,20.34
255,book,Wartorn: 1861-2010,Sher Beevis,44,20.61
256,cd,Anchorman 2: The Legend Continues,Mac Shinn,19,14.1
257,book,Think Like a Man,Maryellen Dewitt,44,15.73
258,cd,Blue Gate Crossing (Lan se da men),Manfred Iacomo,37,26.56
259,cd,Dead Heat,Abrahan Peers,8,14.75
260,cd,Life Itself,Jacinthe Seivertsen,40,17.32
261,dvd,Friends of Eddie Coyle The,Hilliard Creese,14,7.36
262,dvd,Requiem,Jessie Bumphries,35,10.51
263,cd,The Fault in Our Stars,Van Maxweell,12,28.41
264,dvd,The Visitor,Lonnard Reveland,24,11.44
265,dvd,From One Second to the Next,Loree Tuite,12,16.4
266,dvd,Road to Redemption,Beauregard McClintock,39,19.61
267,dvd,Helvetica,Jacquie Whipp,18,14.96
268,dvd,Bang Boom Bang - Ein todsicheres Ding,Domenic De Cruze,33,27.14
269,dvd,Caretakers The,Dilly Cobbold,29,14.65
270,dvd,Miral,Clarette Eddowis,22,20.41
271,cd,Fall The,Cece Imlock,49,16.33
272,cd,Dying Swan The (Umirayushchii lebed),Rania Hasslocher,14,29.48
273,cd,Dark Woods (Villmark),Rheba Coverdill,28,16.45
274,cd,Still Life,Estell Salisbury,21,16.43
275,dvd,Queen Christina,Hussein Ivanonko,6,22.51
276,book,Eyes of the Mothman,Simone Keming,36,28.87
277,book,Kiss and Tell,Nickie Larvent,17,21.03
278,cd,Hitman The,Marabel Godfray,9,7.61
279,book,Up Close and Personal,Gert Wort,11,26.1
280,book,Skylab Le,Annora Poulson,43,19.04
281,dvd,I Accuse!,Crissy Dando,35,19.92
282,cd,Blind Husbands,Jervis Exton,32,18.92
283,book,Outlaw,Teador Ezzell,33,26.04
284,dvd,Breaking Up,Valerie McAlarney,12,15.91
285,dvd,Monsters University,Nixie Gerhardt,20,19.68
286,book,Imitation of Life,Monty Millier,37,11.73
287,cd,Taxi 2,Marlee Knocker,35,11.86
288,book,Lille Fridolf and I,Brandais Harewood,41,8.82
289,cd,Pure,Kort Colleton,40,9.03
290,cd,Life According to Sam,Fiorenze Klaas,9,22.79
291,dvd,Edmond,Gardie Apps,39,15.71
292,cd,Conman (Du Xia 1999),Agnes Karlik,12,16.51
293,cd,Rendezvous in Paris (Rendez-vous de Paris Les),Tabina Fuke,3,13.0
294,book,Hiding Cot (Piilopirtti),Odele Rosenauer,28,10.99
295,cd,Friday the 13th Part 3: 3D,Clementina Stitch,22,7.61
296,book,Hotel Very Welcome,Enos Waple,27,13.12
297,dvd,Men of Respect,Lockwood Carlet,22,18.97
298,cd,Strange Brew,Lodovico Stolworthy,30,17.06
299,book,Summer Catch,Glenden Pelcheur,31,24.71
300,book,Ordeal The (Calvaire),Harriott Siddens,15,28.3
301,dvd,Woman in the Moon (By Rocket to the Moon) (Frau im Mond),Godiva Duinbleton,46,7.58
302,cd,Hotel,Steven Cahani,26,18.67
303,cd,Shanghai Kiss,Zorana Olesen,14,29.73
304,book,Biggles,Ingmar Davydoch,8,12.68
305,book,Grosse Pointe Blank,Bradly Dancey,9,19.29
306,book,Battle of Los Angeles,Georgine Manuelli,3,12.78
307,book,Mad Love,Tymon Denne,35,27.53
308,book,Pharaoh's Army,Ginni Jouhan,47,11.75
309,dvd,Beaver Trilogy Part IV,Justus Tizzard,2,19.74
310,cd,Phantom Tollbooth The,Sheff Tankard,20,18.68
311,book,Dolly Sisters The,Rand Sparkes,32,9.0
312,cd,Jamaica Inn,Shirlene Corsan,15,23.54
313,dvd,Wild Things,Annissa Leven,4,15.41
314,dvd,Pompatus of Love The,Kit Cromar,27,28.55
315,dvd,Learning to Ride,Karilynn Painter,29,8.7
316,dvd,America America,Cart D'Alwis,6,21.94
317,cd,Ghost World,Nehemiah Beiderbecke,11,8.78
318,dvd,Torque,Kalle Duell,33,14.91
319,book,Collision Course,Dorie Grzegorzewicz,31,17.11
320,book,Lucky Break,Dermot Haton,42,10.68
321,cd,Slaughter,Hyacinthe Mogridge,28,27.21
322,cd,Rent-A-Cop,Nikolaos Toope,27,19.33
323,dvd,Fugly!,Didi Choffin,32,18.38
324,dvd,Mummy's Hand The,Luce Arrault,41,28.17
325,book,Wrestler The (Painija),Aaron Scurrer,2,9.62
326,cd,Circle of Eight,Inger Daintith,29,23.39
327,dvd,Night in Casablanca A,Haroun Schuler,7,18.9
328,book,10 Questions for the Dalai Lama,Marga Kightly,43,18.44
329,dvd,Lower City (Cidade Baixa),Farrand Bampton,32,13.24
330,book,Hillsborough,Daffie Harwood,6,26.67
331,cd,Stuck Between Stations,Adriaens Tollmache,17,22.09
332,cd,Scalphunters The,Karyn Iliffe,36,11.56
333,book,Major League: Back to the Minors,Xavier Kyttor,48,22.22
334,dvd,Night Train,Pasquale Kernoghan,50,9.98
335,dvd,Exodus: Gods and Kings,Broddie Rignold,42,14.38
336,dvd,Girl on the Train The,Stephenie Brandes,5,9.97
337,cd,Hollow Man II,Hedvige Szymczyk,41,28.15
338,cd,Map For Saturday A,Dody Cansdall,20,25.21
339,cd,No Regrets for Our Youth (Waga seishun ni kuinashi),Caron Fagge,18,13.52
340,dvd,Holy Smoke,Polly Hackelton,11,26.01
341,dvd,Illusion Travels by Streetcar (Ilusión viaja en tranvía La),Sheri Saltwell,9,7.51
342,cd,Samurai Fiction (SF: Episode One),Jilleen Botcherby,5,10.43
343,book,Dragonworld,Barnard Pittway,33,22.52
344,cd,Super Mario Bros.,Barret Fossick,31,15.92
345,cd,Grass: A Nation's Battle for Life,Minna Torry,50,11.6
346,book,Crucified Lovers The (Chikamatsu monogatari),Giovanna Caser,41,8.94
347,cd,Abols Upe,Niccolo Backes,20,29.21
348,dvd,Backyard The,Virgie Kendell,47,17.99
349,cd,Dead Man's Letters (Pisma myortvogo cheloveka),Natalina Formoy,8,17.67
350,dvd,Around the World in 80 Days,Binni Daunter,29,21.64
351,dvd,Myn Bala: Warriors of the Steppe,Dorey Dimont,7,22.95
352,book,Pirates,Emmi Rozycki,44,27.5
353,dvd,Blind Sunflowers The (Los girasoles ciegos),Duke Curnow,31,21.97
354,book,Pearl Jam: Immagine in Cornice - Live in Italy 2006,Brynna Counihan,21,15.27
355,book,Love with the Proper Stranger,Monte Lafferty,39,16.97
356,book,Shakespeare High,Charlena Sloegrave,35,13.21
357,book,Drunk Stoned Brilliant Dead: The Story of the National Lampoon,Ramsey Swansborough,23,28.58
358,book,Magic Camp,Brent Tregale,47,9.16
359,cd,Commander Hamilton (Hamilton),Tabby Skoyles,17,28.12
360,book,Amigo,Bent Annesley,19,18.43
361,dvd,War Tapes The,Burnard Greenway,39,18.23
362,book,Solo Sunny,Pasquale Stourton,11,14.19
363,dvd,Stella Does Tricks,Liza Saiz,30,15.87
364,cd,King of Comedy (Hei kek ji wong),Ginny Kembley,32,19.71
365,dvd,Employment The (Empleo El),Angelia Mattiacci,3,23.16
366,cd,Uncle Marin the Billionaire (Nea Marin miliardar) (Uncle Martin the Multimillionaire),Yuma Yeo,34,24.54
367,book,Szamanka,Rochester Constable,34,27.89
368,cd,Quality Street,Berthe Karim,17,11.46
369,cd,The Fox & the Child,Karyn Siggery,49,28.36
370,dvd,Wild Tigers I Have Known,Kara-lynn Hewlings,10,9.98
371,cd,F for Fake (Vérités et mensonges),Harcourt Linneman,19,21.46
372,book,Back in the Day,Sally Caskie,26,24.41
373,dvd,Alone in the Dark,Lorri Duffil,39,16.05
374,book,Pray the Devil Back to Hell,Barthel Pochin,30,28.95
375,dvd,Stuck,Angelita Crispin,8,22.75
376,book,Summer of Fear,Pierson Carnegy,6,12.06
377,cd,Sel8nne,Maggie Scorrer,35,16.8
378,dvd,Dolly and Her Lover (Räpsy ja Dolly eli Pariisi odottaa),Gavin St Louis,18,12.77
379,cd,Wolfen,Donny Valenti,21,16.44
380,cd,Winnie the Pooh and a Day for Eeyore,Jacintha Pecey,33,29.07
381,dvd,Men of Means,Ange Skedge,13,27.09
382,book,H.H. Holmes: America's First Serial Killer,Alvera Caller,3,23.51
383,cd,Fighting Elegy (Kenka erejii),Elton Trahearn,35,29.66
384,book,Private,Thorpe Wardingly,42,7.28
385,book,Gold Rush The,Eliot Topping,19,8.25
386,book,Jesse Stone: Death in Paradise,Morley Rouby,27,15.43
387,cd,Dead Air,Robb Farden,25,24.94
388,dvd,It's A Wonderful World,Lil Rosekilly,4,15.61
389,book,Striptease,Hermann Watterson,48,13.3
390,cd,Sun on the Horizon,Theresa Krikorian,21,17.24
391,cd,Prison of the Dead,Shaine Hildrew,3,20.44
392,cd,Star for Two A,Emmett Densham,48,20.08
393,cd,Cabin Boy,Vaughn Kruger,40,25.72
394,book,When I Grow Up I'll Be a Kangaroo (Kad porastem bicu Kengur),Noellyn Briton,20,26.33
395,dvd,Brotherhood of the Wolf (Pacte des loups Le),Trish Steinson,18,12.55
396,book,China Blue,Mahalia Masters,20,29.39
397,cd,Skin Game,Cornie Bewlie,45,17.93
398,cd,Shutter,Abby Buske,10,21.86
399,dvd,Mark Shoots First,Teressa Matzkaitis,3,29.13
400,book,All About Lily Chou-Chou (Riri Shushu no subete),Adelle Phippin,45,13.97
401,cd,Camp Rock,Leeann Brumpton,32,23.64
402,book,Sisters (Syostry),Rozele Tonge,9,23.24
403,book,West Point,Rene Light,34,17.95
404,cd,Pontiac Moon,Gillian Serjeantson,17,12.36
405,book,Berberian Sound Studio,Mikel Kynnd,28,14.33
406,dvd,Halloween,Heywood Eddington,47,20.38
407,dvd,Tenure,Dot Mc Carroll,9,24.9
408,dvd,Given Word The (O Pagador de Promessas),Prudence Mordan,48,16.79
409,cd,Reeds The,Zacharias Antonias,25,23.0
410,dvd,Paintball,Micheil Gallamore,47,7.02
411,cd,Angels Fall,Jamie Sharville,33,10.88
412,dvd,A Night at the Movies: The Suspenseful World of Thrillers,Claudelle Gromley,26,15.38
413,dvd,Executive Protection (Livvakterna),Roger Gianetti,13,8.49
414,dvd,Quest for a Heart (Röllin sydän),Tamera Walsham,19,23.96
415,book,Affair of the Heart An,Doris Orsman,4,21.32
416,book,Rocker The,Audre Batstone,10,22.1
417,cd,Blackboards (Takhté Siah),Washington Kille,35,27.86
418,cd,Adventures of Mark Twain The,Fernande Bleackley,39,25.27
419,book,Philadelphia,Annaliese Theuff,14,7.29
420,dvd,Fatso,Mort Claque,38,14.85
421,book,Agony and the Ecstasy of Phil Spector The,Shannon Heighway,29,15.58
422,dvd,Every Girl Should Be Married,Audrye Fermer,5,27.61
423,book,Headless Woman The (Mujer sin cabeza La),Enrico Caldes,6,27.72
424,cd,Love and Sex under Nazi Occupation (Amour et sexe sous l'occupation) ,Helene Aylin,1,26.62
425,dvd,Gnome-Mobile The,Giffy Seivwright,22,19.3
426,cd,American Virgin,Antonia Bayston,43,19.65
427,cd,Little Man,Correna Smithen,16,8.3
428,book,Crime Zone,Matthiew Shafier,26,10.49
429,dvd,Nebraska,Hartwell Brock,14,29.07
430,book,Red Dawn,Viki Twinbrow,2,22.04
431,dvd,Me Myself & Irene,Emmeline Whalebelly,8,8.04
432,dvd,24 Hour Party People,Jocko Brinkman,41,18.01
433,book,Counterfeiters The (Die Fälscher),Tobin Tapton,33,12.66
434,book,Betty,Nichole Pattrick,38,28.49
435,book,Priest,Peggi Arney,3,11.53
436,cd,The Widow From Chicago,Arturo Gavriel,10,18.16
437,dvd,X-Men Origins: Wolverine,Norah Mc Grath,39,8.72
438,cd,Cake,Amitie Beamson,26,26.84
439,book,Mysterious Mr. Moto,Jocelyn Paolillo,4,17.42
440,cd,Mr. Nice,Gottfried Antoons,34,26.94
441,cd,27 Dresses,Alicia Terren,10,12.77
442,cd,Good Job:  Stories of the FDNY A,Rollo Windrum,18,13.92
443,cd,Cold Prey II (Fritt Vilt II),Binni Dillintone,48,7.14
